deck,ev_farmer_X,std_X,std_XYZ,sharpe_X,sharpe_XYZ,kelly_f,max_ratio,kelly_log_growth,kelly_growth,winrate_X,nonpair_win_X,pair_win_X,twoFarmers,threeFarmers,joint_m1_m1_m1,joint_m1_m1_1,joint_m1_m1_2,joint_m1_1_m1,joint_m1_1_1,joint_m1_1_2,joint_m1_2_m1,joint_m1_2_1,joint_m1_2_2,joint_1_m1_m1,joint_1_m1_1,joint_1_m1_2,joint_1_1_m1,joint_1_1_1,joint_1_1_2,joint_1_2_m1,joint_1_2_1,joint_1_2_2,joint_2_m1_m1,joint_2_m1_1,joint_2_m1_2,joint_2_1_m1,joint_2_1_1,joint_2_1_2,joint_2_2_m1,joint_2_2_1,joint_2_2_2,prob_from_prior,farmerWinWeight_X,farmerWinWeight_Y,farmerWinWeight_Z,farmerWinNonPairWeight_X,farmerWinNonPairWeight_Y,farmerWinNonPairWeight_Z,farmerWinPairWeight_X,farmerWinPairWeight_Y,farmerWinPairWeight_Z,-1_-1_-1_Weight,-1_-1_1_Weight,-1_-1_2_Weight,-1_1_-1_Weight,-1_1_1_Weight,-1_1_2_Weight,-1_2_-1_Weight,-1_2_1_Weight,-1_2_2_Weight,1_-1_-1_Weight,1_-1_1_Weight,1_-1_2_Weight,1_1_-1_Weight,1_1_1_Weight,1_1_2_Weight,1_2_-1_Weight,1_2_1_Weight,1_2_2_Weight,2_-1_-1_Weight,2_-1_1_Weight,2_-1_2_Weight,2_1_-1_Weight,2_1_1_Weight,2_1_2_Weight,2_2_-1_Weight,2_2_1_Weight,2_2_2_Weight,totalDeals
11004011,0.161904761904762,1.25450661539609,0.866928270302878,0.129058515848195,0.186756814203553,0.0718873148615094,0.140277490189638,1.74130868360719,1.75655784634285,0.480952380952381,0.280952380952381,0.2,0.471428571428571,0.242857142857143,0.271428571428571,0.019047619047619,0.0666666666666667,0.019047619047619,0.019047619047619,0.0238095238095238,0.0666666666666667,0.0238095238095238,0.00952380952380952,0.019047619047619,0.019047619047619,0.0238095238095238,0.019047619047619,0.0571428571428571,0.0571428571428571,0.0238095238095238,0.0571428571428571,0.00476190476190476,0.0666666666666667,0.0238095238095238,0.00952380952380952,0.0238095238095238,0.0571428571428571,0.00476190476190476,0.00952380952380952,0.00476190476190476,0,2.43385337934837e-05,1212,1212,1212,708,708,708,504,504,504,684,48,168,48,48,60,168,60,24,48,48,60,48,144,144,60,144,12,168,60,24,60,144,12,24,12,0,2520
11004020,0.15,1.28132186209622,0.854795065015354,0.117066604759716,0.175480657457125,0.0692132601170844,0.13542430386361,1.54998447579701,1.56205903912964,0.464285714285714,0.242857142857143,0.221428571428571,0.492857142857143,0.164285714285714,0.264285714285714,0.019047619047619,0.0619047619047619,0.019047619047619,0.0380952380952381,0.0285714285714286,0.0619047619047619,0.0285714285714286,0.0142857142857143,0.019047619047619,0.0380952380952381,0.0285714285714286,0.0380952380952381,0,0.0380952380952381,0.0285714285714286,0.0380952380952381,0.0142857142857143,0.0619047619047619,0.0285714285714286,0.0142857142857143,0.0285714285714286,0.0380952380952381,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.00714285714285714,9.1269501725564e-06,1170,1170,1170,612,612,612,558,558,558,666,48,156,48,96,72,156,72,36,48,96,72,96,0,96,72,96,36,156,72,36,72,96,36,36,36,18,2520
11004101,0.147619047619048,1.25626773292163,0.86947478086361,0.117506040910355,0.169779562177093,0.0658280750990112,0.129283794156406,1.44983464723052,1.4603957274269,0.473809523809524,0.273809523809524,0.2,0.442857142857143,0.25,0.271428571428571,0.019047619047619,0.0761904761904762,0.019047619047619,0.019047619047619,0.019047619047619,0.0761904761904762,0.019047619047619,0.00714285714285714,0.019047619047619,0.019047619047619,0.019047619047619,0.019047619047619,0.0571428571428571,0.0571428571428571,0.019047619047619,0.0571428571428571,0.00714285714285714,0.0761904761904762,0.019047619047619,0.00714285714285714,0.019047619047619,0.0571428571428571,0.00714285714285714,0.00714285714285714,0.00714285714285714,0,2.43385337934837e-05,1194,1194,1194,690,690,690,504,504,504,684,48,192,48,48,48,192,48,18,48,48,48,48,144,144,48,144,18,192,48,18,48,144,18,18,18,0,2520
11004110,0.157142857142857,1.25511199597844,0.860456557606683,0.125202258958855,0.182627299139822,0.0706218652471132,0.137856371913568,1.66201138626931,1.67589963022592,0.478571428571429,0.278571428571429,0.2,0.471428571428571,0.235714285714286,0.271428571428571,0.019047619047619,0.0666666666666667,0.019047619047619,0.019047619047619,0.0238095238095238,0.0666666666666667,0.0238095238095238,0.0119047619047619,0.019047619047619,0.019047619047619,0.0238095238095238,0.019047619047619,0.0571428571428571,0.0571428571428571,0.0238095238095238,0.0571428571428571,0.00238095238095238,0.0666666666666667,0.0238095238095238,0.0119047619047619,0.0238095238095238,0.0571428571428571,0.00238095238095238,0.0119047619047619,0.00238095238095238,0,2.43385337934837e-05,1206,1206,1206,702,702,702,504,504,504,684,48,168,48,48,60,168,60,30,48,48,60,48,144,144,60,144,6,168,60,30,60,144,6,30,6,0,2520
11004200,0.111904761904762,1.28520933646965,0.845727557810916,0.0870712332452814,0.13231774331017,0.0533403377314658,0.105737331806579,0.888486614002387,0.892445371977684,0.445238095238095,0.223809523809524,0.221428571428571,0.435714285714286,0.164285714285714,0.264285714285714,0.019047619047619,0.080952380952381,0.019047619047619,0.0380952380952381,0.019047619047619,0.080952380952381,0.019047619047619,0.0142857142857143,0.019047619047619,0.0380952380952381,0.019047619047619,0.0380952380952381,0,0.0380952380952381,0.019047619047619,0.0380952380952381,0.0142857142857143,0.080952380952381,0.019047619047619,0.0142857142857143,0.019047619047619,0.0380952380952381,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.00714285714285714,9.1269501725564e-06,1122,1122,1122,564,564,564,558,558,558,666,48,204,48,96,48,204,48,36,48,96,48,96,0,96,48,96,36,204,48,36,48,96,36,36,36,18,2520
11010014,0.147619047619048,1.25626773292163,0.86947478086361,0.117506040910355,0.169779562177093,0.0658280750990112,0.129283794156406,1.44983464723052,1.4603957274269,0.473809523809524,0.273809523809524,0.2,0.442857142857143,0.25,0.271428571428571,0.019047619047619,0.0761904761904762,0.019047619047619,0.019047619047619,0.019047619047619,0.0761904761904762,0.019047619047619,0.00714285714285714,0.019047619047619,0.019047619047619,0.019047619047619,0.019047619047619,0.0571428571428571,0.0571428571428571,0.019047619047619,0.0571428571428571,0.00714285714285714,0.0761904761904762,0.019047619047619,0.00714285714285714,0.019047619047619,0.0571428571428571,0.00714285714285714,0.00714285714285714,0.00714285714285714,0,2.43385337934837e-05,1194,1194,1194,690,690,690,504,504,504,684,48,192,48,48,48,192,48,18,48,48,48,48,144,144,48,144,18,192,48,18,48,144,18,18,18,0,2520
11010023,0.05,1.18517629791641,0.85627932692217,0.0421878163509535,0.0583921606279128,0.0228396905346519,0.0456355787444655,0.170990052605016,0.171136323953403,0.457142857142857,0.321428571428571,0.135714285714286,0.471428571428571,0.221428571428571,0.321428571428571,0.0238095238095238,0.0452380952380952,0.0238095238095238,0.0428571428571429,0.0166666666666667,0.0452380952380952,0.0166666666666667,0.00714285714285714,0.0238095238095238,0.0428571428571429,0.0166666666666667,0.0428571428571429,0.114285714285714,0.0285714285714286,0.0166666666666667,0.0285714285714286,0.00714285714285714,0.0452380952380952,0.0166666666666667,0.00714285714285714,0.0166666666666667,0.0285714285714286,0.00714285714285714,0.00714285714285714,0.00714285714285714,0,0.000146031202760902,1152,1152,1152,810,810,810,342,342,342,810,60,114,60,108,42,114,42,18,60,108,42,108,288,72,42,72,18,114,42,18,42,72,18,18,18,0,2520
11010032,0.05,1.18517629791641,0.84131888146972,0.0421878163509527,0.0594304978781097,0.0237585283371924,0.0475221055929076,0.17762873470827,0.17778658799567,0.457142857142857,0.321428571428571,0.135714285714286,0.442857142857143,0.221428571428571,0.292857142857143,0.0380952380952381,0.05,0.0380952380952381,0.0428571428571429,0.0119047619047619,0.05,0.0119047619047619,0.00714285714285714,0.0380952380952381,0.0428571428571429,0.0119047619047619,0.0428571428571429,0.1,0.0333333333333333,0.0119047619047619,0.0333333333333333,0.00714285714285714,0.05,0.0119047619047619,0.00714285714285714,0.0119047619047619,0.0333333333333333,0.00714285714285714,0.00714285714285714,0.00714285714285714,0,0.000146031202760902,1152,1152,1152,810,810,810,342,342,342,738,96,126,96,108,30,126,30,18,96,108,30,108,252,84,30,84,18,126,30,18,30,84,18,18,18,0,2520
11010041,0.147619047619048,1.25626773292163,0.854745324152754,0.117506040910355,0.17270529998555,0.0674029033318377,0.131891135979953,1.4895988762075,1.5007486939962,0.473809523809524,0.273809523809524,0.2,0.471428571428571,0.221428571428571,0.271428571428571,0.019047619047619,0.0666666666666667,0.019047619047619,0.019047619047619,0.0285714285714286,0.0666666666666667,0.0285714285714286,0.00714285714285714,0.019047619047619,0.019047619047619,0.0285714285714286,0.019047619047619,0.0571428571428571,0.0476190476190476,0.0285714285714286,0.0476190476190476,0.00714285714285714,0.0666666666666667,0.0285714285714286,0.00714285714285714,0.0285714285714286,0.0476190476190476,0.00714285714285714,0.00714285714285714,0.00714285714285714,0,2.43385337934837e-05,1194,1194,1194,690,690,690,504,504,504,684,48,168,48,48,72,168,72,18,48,48,72,48,144,120,72,120,18,168,72,18,72,120,18,18,18,0,2520
11010104,0.166666666666667,1.2538828582536,0.858662673755874,0.132920444337838,0.194100281473341,0.0747704025177371,0.145275570548824,1.86951647368944,1.88710134600797,0.483333333333333,0.283333333333333,0.2,0.5,0.221428571428571,0.271428571428571,0.019047619047619,0.0571428571428571,0.019047619047619,0.019047619047619,0.0333333333333333,0.0571428571428571,0.0333333333333333,0.00714285714285714,0.019047619047619,0.019047619047619,0.0333333333333333,0.019047619047619,0.0571428571428571,0.0476190476190476,0.0333333333333333,0.0476190476190476,0.00714285714285714,0.0571428571428571,0.0333333333333333,0.00714285714285714,0.0333333333333333,0.0476190476190476,0.00714285714285714,0.00714285714285714,0.00714285714285714,0,2.43385337934837e-05,1218,1218,1218,714,714,714,504,504,504,684,48,144,48,48,84,144,84,18,48,48,84,48,144,120,84,120,18,144,84,18,84,120,18,18,18,0,2520
