deck,ev_farmer_X,kelly_f
34412110,0.0440476190476189,0.0215590650461762
34412200,0.0454212454212455,0.0220340449826501
34413001,0.0618131868131869,0.0299764060291714
34413010,0.0612637362637364,0.029451183114161
34413100,0.0502747252747252,0.0242112282730004
34414000,0.0682234432234432,0.0322215857614568
34420003,0.0767399267399268,0.0367239431591312
34420012,0.0534798534798535,0.0261404501060202
34420021,0.0534798534798535,0.026233607165505
34420030,0.0767399267399268,0.0369534514786436
34420102,0.0586080586080586,0.0285495292030743
34420111,0.0440476190476189,0.0217761762640329
34420120,0.0527472527472528,0.025879967467898
34420201,0.0542124542124542,0.0264886585756494
34420210,0.0483516483516484,0.0237491076810058
34420300,0.0635531135531137,0.0306758297810939
34421002,0.0578754578754579,0.0281467560103918
34421011,0.0455128205128206,0.0224235850067775
34421020,0.0571428571428572,0.0278465039264481
34421101,0.0425824175824174,0.0209497248204868
34421110,0.0396520146520145,0.0195393833827482
34421200,0.0424908424908426,0.0207683740087012
34422001,0.0476190476190477,0.0232271559133108
34422010,0.0468864468864469,0.0228407433386013
34422100,0.0366300366300367,0.0179068042103355
34423000,0.0459706959706961,0.0222809121526926
34430002,0.067948717948718,0.0321791043892463
34430011,0.0559523809523811,0.0269853983430137
34430020,0.067948717948718,0.0327079077367276
34430101,0.0546703296703296,0.0263374477731398
34430110,0.0517399267399267,0.0251833122885768
34430200,0.0547619047619049,0.0265212739237071
34431001,0.0486263736263736,0.0233685934350228
34431010,0.048076923076923,0.0232682774595416
34431100,0.0385531135531135,0.0187529233238563
34432000,0.0371794871794872,0.018070926506489
34440001,0.0623626373626374,0.0289428649662336
34440010,0.0623626373626374,0.0293972789334893
34440100,0.0535714285714285,0.0254096404916048
34441000,0.0418498168498168,0.0199702751005783
40000444,0.0967032967032967,0.0447321799466335
40001344,0.0887362637362638,0.0416719639024505
40001434,0.0887362637362638,0.0418080818825482
40001443,0.0887362637362638,0.0419164527216903
40002244,0.0852564102564103,0.0403289766258795
40002334,0.0811355311355312,0.0389844823085913
40002343,0.0811355311355312,0.0390454266279055
40002424,0.0852564102564103,0.040496413571363
40002433,0.0811355311355312,0.039133700255961
40002442,0.0852564102564103,0.0405899253528138
40003144,0.0887362637362638,0.0417028789612177
40003234,0.0811355311355312,0.0390086506995863
40003243,0.0811355311355312,0.0390827844824881
40003324,0.0811355311355312,0.0390753625441655
40003333,0.0763736263736264,0.0373503720941759
40003342,0.0811355311355312,0.0391458659253955
40003414,0.0887362637362638,0.0418406334258247
40003423,0.0811355311355312,0.0392087201347042
40003432,0.0811355311355312,0.0392339110475336
40003441,0.0887362637362638,0.0418926437296675
40004044,0.0967032967032967,0.0447321799466335
40004134,0.0887362637362638,0.0418585733408281
40004143,0.0887362637362638,0.0419941279278158
40004224,0.0852564102564103,0.0405870605367662
40004233,0.0811355311355312,0.0392020779394857
40004242,0.0852564102564103,0.0407288828312404
40004314,0.0887362637362638,0.0419477099005044
40004323,0.0811355311355312,0.0392682629171111
40004332,0.0811355311355312,0.0393071124249572
40004341,0.0887362637362638,0.0420280388726207
40004404,0.0967032967032967,0.0447321799466335
40004413,0.0887362637362638,0.0421316105202809
40004422,0.0852564102564103,0.040895628871847
40004431,0.0887362637362638,0.0421639463016807
40004440,0.0967032967032967,0.0447321799466335
40010344,0.0858058608058608,0.0398944555525503
40010434,0.0887362637362638,0.0413666034386841
40010443,0.0887362637362638,0.0415004894222984
40011244,0.0724358974358975,0.0343000548289961
40011334,0.0720695970695971,0.034597076178597
40011343,0.0722527472527473,0.0348234360992303
40011424,0.0797619047619048,0.0377896040051187
40011433,0.0750000000000001,0.0361856013844222
40011442,0.0797619047619048,0.0380859010168781
40012144,0.0665750915750917,0.0316429203598028
40012234,0.0622710622710623,0.0302441098124014
40012243,0.063003663003663,0.0307608891994469
40012324,0.0666666666666668,0.0323384702883795
