deck,ev_farmer_X,std_X,std_XYZ,sharpe_X,sharpe_XYZ,kelly_f,max_ratio,kelly_log_growth,kelly_growth,winrate_X,nonpair_win_X,pair_win_X,twoFarmers,threeFarmers,joint_m1_m1_m1,joint_m1_m1_1,joint_m1_m1_2,joint_m1_1_m1,joint_m1_1_1,joint_m1_1_2,joint_m1_2_m1,joint_m1_2_1,joint_m1_2_2,joint_1_m1_m1,joint_1_m1_1,joint_1_m1_2,joint_1_1_m1,joint_1_1_1,joint_1_1_2,joint_1_2_m1,joint_1_2_1,joint_1_2_2,joint_2_m1_m1,joint_2_m1_1,joint_2_m1_2,joint_2_1_m1,joint_2_1_1,joint_2_1_2,joint_2_2_m1,joint_2_2_1,joint_2_2_2,prob_from_first,farmerWinWeight_X,farmerWinWeight_Y,farmerWinWeight_Z,farmerWinNonPairWeight_X,farmerWinNonPairWeight_Y,farmerWinNonPairWeight_Z,farmerWinPairWeight_X,farmerWinPairWeight_Y,farmerWinPairWeight_Z,-1_-1_-1_Weight,-1_-1_1_Weight,-1_-1_2_Weight,-1_1_-1_Weight,-1_1_1_Weight,-1_1_2_Weight,-1_2_-1_Weight,-1_2_1_Weight,-1_2_2_Weight,1_-1_-1_Weight,1_-1_1_Weight,1_-1_2_Weight,1_1_-1_Weight,1_1_1_Weight,1_1_2_Weight,1_2_-1_Weight,1_2_1_Weight,1_2_2_Weight,2_-1_-1_Weight,2_-1_1_Weight,2_-1_2_Weight,2_1_-1_Weight,2_1_1_Weight,2_1_2_Weight,2_2_-1_Weight,2_2_1_Weight,2_2_2_Weight,totalDeals
24144333,0.0149946671685802,1.13491426239797,0.806960876510415,0.0132121585439395,0.0185816532189545,0.00769289831638161,0.0153929377198106,0.0172896166310085,0.0172911113713684,0.459454796411318,0.363369722065374,0.0960850743459439,0.458621627695527,0.208533550026349,0.288790788487921,0.0513732923074692,0.0328225689647146,0.0513732923074692,0.0546138460931838,0.0119098768647833,0.0328225689647146,0.0119098768647833,0.00492909273364247,0.0513732923074692,0.0546138460931838,0.0119098768647833,0.0546138460931838,0.133089116653526,0.0210448620194212,0.0119098768647833,0.0210448620194212,0.00377014314960203,0.0328225689647146,0.0119098768647833,0.00492909273364247,0.0119098768647833,0.0210448620194212,0.00377014314960203,0.00492909273364247,0.00377014314960203,0.0009994178657525,0.000146031202760902,851547510,851547510,851547510,673464690,673464690,673464690,178082820,178082820,178082820,535241070,95214588,60832920,95214588,101220588,22073610,60832920,22073610,9135516,95214588,101220588,22073610,101220588,246665628,39004272,22073610,39004272,6987534,60832920,22073610,9135516,22073610,39004272,6987534,9135516,6987534,1852308,1853386920
24144342,0.0169395821569734,1.13914945417165,0.810251257202917,0.0148703772757291,0.0209065792942436,0.00862299192264711,0.0172544960797705,0.021891318374727,0.021893714698687,0.458811719681285,0.359495576886881,0.0993161427944037,0.457992202729045,0.208883429478395,0.290440473163585,0.0499343849906958,0.0339213897117608,0.0499343849906958,0.0535369570861113,0.0121282629964821,0.0339213897117608,0.0121282629964821,0.00524277467114098,0.0499343849906958,0.0535369570861113,0.0121282629964821,0.0535369570861113,0.131077428775638,0.0215802839484807,0.0121282629964821,0.0215802839484807,0.00399275505839871,0.0339213897117608,0.0121282629964821,0.00524277467114098,0.0121282629964821,0.0215802839484807,0.00399275505839871,0.00524277467114098,0.00399275505839871,0.00108688368211857,5.47617010353384e-05,850355640,850355640,850355640,666284400,666284400,666284400,184071240,184071240,184071240,538298574,92547736,62869460,92547736,99224696,22478364,62869460,22478364,9716890,92547736,99224696,22478364,99224696,242937192,39996616,22478364,39996616,7400120,62869460,22478364,9716890,22478364,39996616,7400120,9716890,7400120,2014416,1853386920
24144414,0.0298481711525189,1.1473023849745,0.810926693521484,0.0260159584285897,0.0368074838218747,0.0151949704551607,0.0303990492207539,0.0679302257756912,0.0679533035788664,0.462058472928038,0.356327247631595,0.105731225296443,0.461374942691405,0.208318145463118,0.283517669370409,0.0496838210123982,0.0353519749669972,0.0496838210123982,0.0527121363303891,0.0128704695941202,0.0353519749669972,0.0128704695941202,0.00589919022413302,0.0496838210123982,0.0527121363303891,0.0128704695941202,0.0527121363303891,0.125947460555079,0.0225106541703661,0.0128704695941202,0.0225106541703661,0.00450944587436713,0.0353519749669972,0.0128704695941202,0.00589919022413302,0.0128704695941202,0.0225106541703661,0.00450944587436713,0.00589919022413302,0.00450944587436713,0.00131038477383881,9.1269501725564e-06,856373130,856373130,856373130,660412260,660412260,660412260,195960870,195960870,195960870,525467940,92083344,65520888,92083344,97695984,23853960,65520888,23853960,10933482,92083344,97695984,23853960,97695984,233429376,41720952,23853960,41720952,8357748,65520888,23853960,10933482,23853960,41720952,8357748,10933482,8357748,2428650,1853386920
24144423,0.0204529769747162,1.13909178915313,0.808108415161566,0.0179555126017746,0.0253096943318279,0.0104714073036513,0.0209526652923116,0.0320926112728797,0.0320977615023042,0.460568417090156,0.361252274295753,0.0993161427944037,0.459819133718716,0.208519014475402,0.286632896923649,0.0508491686128874,0.0336668211729907,0.0508491686128874,0.0540248077287607,0.0122561348388064,0.0336668211729907,0.0122561348388064,0.00522962900806487,0.0508491686128874,0.0540248077287607,0.0122561348388064,0.0540248077287607,0.130672673572122,0.0215820515232729,0.0122561348388064,0.0215820515232729,0.00400444392906366,0.0336668211729907,0.0122561348388064,0.00522962900806487,0.0122561348388064,0.0215820515232729,0.00400444392906366,0.00522962900806487,0.00400444392906366,0.00108685454627035,5.47617010353384e-05,853611480,853611480,853611480,669540240,669540240,669540240,184071240,184071240,184071240,531241662,94243184,62397646,94243184,100128872,22715360,62397646,22715360,9692526,94243184,100128872,22715360,100128872,242187024,39999892,22715360,39999892,7421784,62397646,22715360,9692526,22715360,39999892,7421784,9692526,7421784,2014362,1853386920
24144432,0.018194366020453,1.13913010381972,0.809301310226158,0.0159721580172834,0.0224815724261816,0.00928504257568757,0.0185792168713842,0.0253166760052409,0.0253198809461165,0.459439111613025,0.360122968818621,0.0993161427944037,0.45854615613668,0.208641372088673,0.288870193386279,0.0503603510917192,0.0338341990672946,0.0503603510917192,0.0537109606881223,0.012176488220819,0.0338341990672946,0.012176488220819,0.0052376575529086,0.0503603510917192,0.0537109606881223,0.012176488220819,0.0537109606881223,0.130843370794912,0.0215739668649437,0.012176488220819,0.0215739668649437,0.00399641538421993,0.0338341990672946,0.012176488220819,0.0052376575529086,0.012176488220819,0.0215739668649437,0.00399641538421993,0.0052376575529086,0.00399641538421993,0.00108685454627035,5.47617010353384e-05,851518440,851518440,851518440,667447200,667447200,667447200,184071240,184071240,184071240,535388238,93337216,62707862,93337216,99547192,22567744,62707862,22567744,9707406,93337216,99547192,22567744,99547192,242503392,39984908,22567744,39984908,7406904,62707862,22567744,9707406,22567744,39984908,7406904,9707406,7406904,2014362,1853386920
24144441,0.0230723382897297,1.14745864548365,0.814407657854421,0.0201073375328532,0.0283302079335978,0.0116364840033342,0.0232848714703749,0.0402233584828408,0.0402314491604234,0.458670556496643,0.352939331200201,0.105731225296443,0.457463591034731,0.208657131345245,0.290109052890046,0.0482388124331858,0.0359036395918883,0.0482388124331858,0.0517834667787555,0.0126110828493383,0.0359036395918883,0.0126110828493383,0.00592985408572971,0.0482388124331858,0.0517834667787555,0.0126110828493383,0.0517834667787555,0.12647711142798,0.0224777630350386,0.0126110828493383,0.0224777630350386,0.00447878201277044,0.0359036395918883,0.0126110828493383,0.00592985408572971,0.0126110828493383,0.0224777630350386,0.00447878201277044,0.00592985408572971,0.00447878201277044,0.00131038477383881,9.1269501725564e-06,850094010,850094010,850094010,654133140,654133140,654133140,195960870,195960870,195960870,537684324,89405184,66543336,89405184,95974800,23373216,66543336,23373216,10990314,89405184,95974800,23373216,95974800,234411024,41659992,23373216,41659992,8300916,66543336,23373216,10990314,23373216,41659992,8300916,10990314,8300916,2428650,1853386920
24204444,0.0277777777777778,1.15144819680572,0.815053101039013,0.0241242097168046,0.0340809423856768,0.0139989383227241,0.0280113958005049,0.0582415500825232,0.0582585137664476,0.459454796411318,0.350586611456177,0.108868184955141,0.456003435051759,0.209037768541066,0.286676814358871,0.0491063787155679,0.0366668714808886,0.0491063787155679,0.0501883330438093,0.0129027780124832,0.0366668714808886,0.0129027780124832,0.00632799976812181,0.0491063787155679,0.0501883330438093,0.0129027780124832,0.0501883330438093,0.125023608130352,0.0227638943302783,0.0129027780124832,0.0227638943302783,0.00474661383711503,0.0366668714808886,0.0129027780124832,0.00632799976812181,0.0129027780124832,0.0227638943302783,0.00474661383711503,0.00632799976812181,0.00474661383711503,0.00148263590853441,3.42260631470865e-06,851547510,851547510,851547510,649772640,649772640,649772640,201774870,201774870,201774870,531323058,91013120,67957900,91013120,93018400,23913840,67957900,23913840,11728232,91013120,93018400,23913840,93018400,231717120,42190304,23913840,42190304,8797312,67957900,23913840,11728232,23913840,42190304,8797312,11728232,8797312,2747898,1853386920
24213444,0.0161867118388858,1.13916040079659,0.808690630388349,0.0142093350748208,0.0200159507611863,0.00827118888450156,0.0165507552940075,0.0200652932457854,0.0200673064604008,0.458435284522241,0.359119141727837,0.0993161427944037,0.456491340728789,0.207709831037331,0.288895318199397,0.0509696615318727,0.0339014521587322,0.0509696615318727,0.0532946935872408,0.0121898238064613,0.0339014521587322,0.0121898238064613,0.00525282869698897,0.0509696615318727,0.0532946935872408,0.0121898238064613,0.0532946935872408,0.130256160435189,0.0214689418440484,0.0121898238064613,0.0214689418440484,0.00398640128527507,0.0339014521587322,0.0121898238064613,0.00525282869698897,0.0121898238064613,0.0214689418440484,0.00398640128527507,0.00525282869698897,0.00398640128527507,0.00108764121417238,5.47617010353384e-05,849657960,849657960,849657960,665586720,665586720,665586720,184071240,184071240,184071240,535434804,94466504,62832508,94466504,98775688,22592460,62832508,22592460,9735524,94466504,98775688,22592460,98775688,241415064,39790256,22592460,39790256,7388344,62832508,22592460,9735524,22592460,39790256,7388344,9735524,7388344,2015820,1853386920
24214344,0.0178179308614091,1.13913605408793,0.808315366821185,0.0156416178712522,0.0220432910133589,0.00911519864286472,0.0182396801747326,0.0243393346326383,0.0243422968890164,0.459250894033503,0.359934751239099,0.0993161427944037,0.457102898945677,0.208218588269739,0.287568805114908,0.05129520607602,0.0338142259037848,0.05129520607602,0.0532800004868924,0.0122177640058019,0.0338142259037848,0.0122177640058019,0.00524590839348321,0.05129520607602,0.0532800004868924,0.0122177640058019,0.0532800004868924,0.130646011033681,0.0215029099266547,0.0122177640058019,0.0215029099266547,0.00399218529070012,0.0338142259037848,0.0122177640058019,0.00524590839348321,0.0122177640058019,0.0215029099266547,0.00399218529070012,0.00524590839348321,0.00399218529070012,0.0010872915839937,5.47617010353384e-05,851169600,851169600,851169600,667098360,667098360,667098360,184071240,184071240,184071240,532976262,95069864,62670844,95069864,98748456,22644244,62670844,22644244,9722698,95069864,98748456,22644244,98748456,242137608,39853212,22644244,39853212,7399064,62670844,22644244,9722698,22644244,39853212,7399064,9722698,7399064,2015172,1853386920
24214434,0.0179434092477571,1.1391340844904,0.808059750054602,0.0157517973450723,0.0222055476052912,0.0091853934928102,0.0183801580019837,0.0246993132815296,0.0247023638130607,0.459313633226677,0.359997490432273,0.0993161427944037,0.457081030872928,0.208090092704442,0.287230223897339,0.0514294985960082,0.0338000831472362,0.0514294985960082,0.0532911800197662,0.0122307909672741,0.0338000831472362,0.0122307909672741,0.00524421743518078,0.0514294985960082,0.0532911800197662,0.0122307909672741,0.0532911800197662,0.130543893122975,0.0214937958016883,0.0122307909672741,0.0214937958016883,0.00399256513583251,0.0338000831472362,0.0122307909672741,0.00524421743518078,0.0122307909672741,0.0214937958016883,0.00399256513583251,0.00524421743518078,0.00399256513583251,0.00108711676890436,5.47617010353384e-05,851285880,851285880,851285880,667214640,667214640,667214640,184071240,184071240,184071240,532348740,95318760,62644632,95318760,98769176,22668388,62644632,22668388,9719564,95318760,98769176,22668388,98769176,241948344,39836320,22668388,39836320,7399768,62644632,22668388,9719564,22668388,39836320,7399768,9719564,7399768,2014848,1853386920
24214443,0.0169395821569734,1.13914945417165,0.809805562300981,0.0148703772757301,0.0209180857054653,0.00863290561058353,0.0172745998653983,0.0219161325269712,0.0219185342867503,0.458811719681285,0.359495576886881,0.0993161427944037,0.456640558356806,0.209190741456188,0.289396140769138,0.0507199651543888,0.0339344684702965,0.0507199651543888,0.0529634858974833,0.0121367318163657,0.0339344684702965,0.0121367318163657,0.00524632276999128,0.0507199651543888,0.0529634858974833,0.0121367318163657,0.0529634858974833,0.131485201158105,0.0215505006369636,0.0121367318163657,0.0215505006369636,0.00398897387276263,0.0339344684702965,0.0121367318163657,0.00524632276999128,0.0121367318163657,0.0215505006369636,0.00398897387276263,0.00524632276999128,0.00398897387276263,0.00108711676890436,5.47617010353384e-05,850355640,850355640,850355640,666284400,666284400,666284400,184071240,184071240,184071240,536363022,94003720,62893700,94003720,98161832,22494060,62893700,22494060,9723466,94003720,98161832,22494060,98161832,243692952,39941416,22494060,39941416,7393112,62893700,22494060,9723466,22494060,39941416,7393112,9723466,7393112,2014848,1853386920
24222444,0.0125164690382081,1.1349442986511,0.805658537901554,0.0110282672489605,0.0155356996163775,0.00644017489816408,0.0128860437767882,0.0120833334688121,0.0120840635329557,0.458215697346132,0.362130623000188,0.0960850743459439,0.457361916636382,0.20627377040084,0.288988594998825,0.0516754957998732,0.0328743336550578,0.0516754957998732,0.0548147863264299,0.0119864102634327,0.0328743336550578,0.0119864102634327,0.00490844189188515,0.0516754957998732,0.0548147863264299,0.0119864102634327,0.0548147863264299,0.131187406890732,0.0209618572251497,0.0119864102634327,0.0209618572251497,0.00374161267955857,0.0328743336550578,0.0119864102634327,0.00490844189188515,0.0119864102634327,0.0209618572251497,0.00374161267955857,0.00490844189188515,0.00374161267955857,0.00097595379598341,0.000123213827329511,849250980,849250980,849250980,671168160,671168160,671168160,178082820,178082820,178082820,535607682,95774688,60928860,95774688,101593008,22215456,60928860,22215456,9097242,95774688,101593008,22215456,101593008,243141024,38850432,22215456,38850432,6934656,60928860,22215456,9097242,22215456,38850432,6934656,9097242,6934656,1808820,1853386920
24223344,0.00961478135391181,1.13067348039878,0.803773094166356,0.00850358792400473,0.0119620592225515,0.00496815475388097,0.0099400312430526,0.00716157588988315,0.00716183233685113,0.458388230127361,0.36554990902817,0.0928383210991907,0.45738413433931,0.206833010346269,0.289052454303498,0.0526531869556951,0.031867950163369,0.0526531869556951,0.0555662538073809,0.0116692136793541,0.031867950163369,0.0116692136793541,0.00461236016492444,0.0526531869556951,0.0555662538073809,0.0116692136793541,0.0555662538073809,0.133974127755256,0.0204642083046534,0.0116692136793541,0.0204642083046534,0.00352324273444209,0.031867950163369,0.0116692136793541,0.00461236016492444,0.0116692136793541,0.0204642083046534,0.00352324273444209,0.00461236016492444,0.00352324273444209,0.000896529473726943,0.00032857020621203,849570750,849570750,849570750,677505420,677505420,677505420,172065330,172065330,172065330,535726038,97586728,59063642,97586728,102985768,21627568,59063642,21627568,8548488,97586728,102985768,21627568,102985768,248305896,37928096,21627568,37928096,6529932,59063642,21627568,8548488,21627568,37928096,6529932,8548488,6529932,1661616,1853386920
